Game Title,Set Title,Year,Format,Moby ID,BoardGameGeek ID,IGDB ID,Designer(s),Publisher,Description,Mechanics,Facilitator Present,Facilitator participates in game?,Players Min,Players Max,Smells Min,Smells Max,Smells,Example Smells,Smell Specificity (Swappability),Specificity Note,Smell Count Flexibility,Flexibility Note,Cost,Currency,Target Audience,Descriptive Source,citationKey,Tags,Variant,URLs,Target Species,Realized or Description?,Complexity_1_Light,Complexity_2_MediumLight,Complexity_3_Medium,Complexity_4_MediumHeavy,Complexity_5_Heavy,Images,Notes
"""Smell"" game",,1996,Analog,,,,,,"This game involves players guessing and identifying various scents, focusing purely on olfactory perception. Designed to be accessible and inclusive, it was originally featured in a magazine for DeafBlind individuals.",Identifying,None,,1,,1,,,,None,,Fully Flexible,,,,,Borman 1996,,Informal game,,https://files.eric.ed.gov/fulltext/ED394239.pdf,Human,,,,,,,N.A.,
3-2-1-Find It,,2009,Analog,,,,"John Rice, Suzanne Clothier",,"A handler throws a favorite toy into a lightly concealed area, waits briefly, then releases their dog to retrieve it. Dogs practice scent tracking and visual memory to locate the toy.",Localising,Dog handler,FALSE,1,1,1,1,,,None,,Fully Flexible,,,,,Rice & Clothier 2009,,"Animal game, Educational game",,"Scent games for dogs, https://www.myherodogtraining.com/wp-content/uploads/2017/07/Scent-Games.pdf",Dog,,,,,,,,
Animal Instincts (from Kendra's Smelly Game Show),Kendra's Smelly Game Show,2018,Analog,,,,Kendra Gaeta,,Players guess which scent belongs to which wild animal.,"Identifying, Discriminating",Host,FALSE,2,,2,,,,Medium,"At least a portion of the scents must ""come from animals.""",Fully Flexible,,,,,,,Game show,,https://www.mediamatic.net/en/page/370874/playhouse-game-show,Human,,,,,,,N.A.,
Ant Eater Challenge,,2022,Analog,,,,Food Fight,,"Food Fight's ""Ant Eater Challenge Game"" is a daring, lighthearted game for two players that involves eating real edible black ants. Players flip a coin to decide who eats a real ant while another friend records the event for social media. Includes edible ants, fake plastic ants, a coin, and a scratch-off ticket.","Eating, Experiencing, Punishing",Player,TRUE,2,,1,1,edible black ants,,High,Challenge is specific to particular edible item.,Expandable Only,,10.95,USD,12+,,,Commercially available,,https://blaircandy.com/food-fight-ant-eater-game.html,Human,,,,,,,AntEaterChallenge_2022,
Aroma,,2020,Analog,,324928,,Odd Hackwelder,Organic Aromas,"""Aroma"" is a board game that leverages the sense of smell to challenge players’ olfactory skills across four different game modes, each emphasizing a unique gameplay style. Players use essential oils, organized into categories such as plants, trees, flowers, and fruits, to compete in various challenges. In “Discover,” players race to identify five aromas as quickly as possible. “Survive” is an elimination game where players aim to identify others' aromas correctly to knock them out. In “Revolve,” players pass and identify aromas under time pressure. Lastly, in “Collect,” players work to gather all oils belonging to their category. Success requires more than smell recognition, as strategy, memory, and occasionally bluffing or trickery also play key roles.","Identifying, Collecting, Memorizing, Bluffing",None,,2,4,20,20,"lavender, bergamot, cedarwood, peppermint, marigold, lemon, frankincense, eucalyptus, rose, geranium, orange, pine, marjoram, ylang ylang, lime, elemi, tea tree, clary sage, grapefruit, cypress, rosemary",,Low,Categories for smells impose some specificity.,Fixed,,58,USD,14+ years old,Hackwelder 2020,,"Commercially available, Tabletop game, Party game",,https://boardgamegeek.com/boardgame/324928/aroma,Human,,,,,,,,
Association game smell and image,,2017,Analog,,,,"Sophia Bulgakova, Kay Churcher",,"Players receive abstract visual pattern cards and a scent prompt provided by a referee. Each player selects a card they feel best represents the smell, and optionally suggests a word to pair with it. The referee then decides which card and word combination most appropriately or creatively captures the scent.","Associating, Judging",Referee,TRUE,3,,2,,,,None,,Fully Flexible,,,,,Ueda 2020,,"Art, Subjective judgement game, Party game",,,Human,,,,,,,,
Bacchanales,,1993,Analog,,18694,,"Véronique Debroise, Olivier Job",SentoSphère,"In ""Bacchanales,"" players engage in a sensory-based challenge where they identify the aromas from 40 different wine-related scent capsules. The goal of the game is to match these scents to specific grape varieties, wine regions, and vintages. Each player takes turns sniffing the aroma capsules and attempting to discern the correct characteristics of the wine. Gameplay involves using a reference chart to guide players in making educated guesses about the grape varieties and regions based on their olfactory experience. The game also includes tasting sheets, cards, and a glossary to enhance the learning process, making it both educational and competitive​.","Identifying, Matching",None,,3,7,40,40,,,Medium,Needs to be wine-related scents.,Fully Flexible,,,,18+ years,Sentosphère,,"Commercially available, Educational game, Tabletop game, Professional training game",,,Human,,,,,,,Bacchanales_1993,
Back to Mouth,,2009,Digital,,,,"Takuya Iwamoto, Yusuke Sasayama, Mistuo Motoki, Takayuki Kosaka",,"In the ""Back to the Mouth"" game, players control their mouth odor by eating or drinking to defeat monsters in a virtual environment. Using a blowgun-like device, they aim and blow to strike monsters, but the effectiveness depends on the specific mouth odor. Some monsters require stronger odors, while others need the player to weaken their mouth scent by drinking water or green tea. Wind from blowers affects the direction of attacks, adding realism to the gameplay.","Matching, Emanating",None,,1,1,1,1,green tea,,Medium,Odor strength differences is a consideration and must be oral-safe.,Expandable Only,,,,,Iwamoto et al. 2009,,"Research, Experimental game, Biofeedback game, Digital game",,https://doi.org/10.1145/1597956.1597960,Human,,,,,,,BackToMouth_2009,
Bee Pheromone Game,,2013,Analog,,,,Marilyn Nielson,A School of Fish,"The ""Bee Pheromone Game"" is an educational scent game in which children explore how bees use pheromones to recognize members of their colony. Four different scents (mint, lemon, almond, and vanilla) are placed on cotton balls and scattered around the room to represent different ""bees."" Each child receives their own scent on a cotton ball (their colony's unique pheromone) and must locate and collect only the cotton balls that match it. This simulates how bees identify hive-mates using smell.","Identifying, Matching, Navigating",Parent,FALSE,2,,4,4,"mint, lemon, almond, vanilla",,None,,Fully Flexible,,,,,,,"Educational game, Informal game",,https://nielsonschool.blogspot.com/2013/08/bee-pheromone-game-and-bee-dance.html,Human,,,,,,,BeePheromoneGame_2013,
Bliff,,2011,Analog,,,,Oxalis Atindriyaratri,,"""Bliff"" is an olfactory-based board game where players advance by completing scent-based challenges. Drawing inspiration from traditional games like Ludo and Chinese Checkers, ""Bliff"" uses simplicity to ease players into the novel concept of an olfactory game. Scents, held in small bottles, act as pawns, and players move forward based on their ability to correctly identify various aromas. Players' sense of smell is put to the test in different challenges, with successful identification earning them additional moves.","Identifying, Matching",None,,2,,18,18,,,None,,Fixed,,,,,Atindriyaratri 2011,,"Art, Research, Tabletop game",,"https://oxalis.wordpress.com/projects/bliff-an-olfactory-board-game/, https://olfactournal.blogspot.com/2011/02/bliff-is-olfactory-board-game-in-which.html",Human,,,,,,,Bliff_2011,
Blindfold food testing,,2018,Analog,,,,Partyvapours,,"Blindfolded players taste samples of foods such as pickles, jams, peanut butter, coffee powder, and chocolate syrup. Using only taste and smell, they guess each item. The player with the most correct identifications wins.","Eating, Identifying",Player,TRUE,2,,1,,,"pickles, jams, peanut butter, coffee powder, chocolate syrup",Low,Scents need to be edible.,Fully Flexible,,,,,,,"Edible game, Party game, Informal game",,https://medium.com/@partyvapours/exciting-food-games-thatll-make-your-party-fun-6382482dec7d,Human,,,,,,,N.A.,"This is quite an interesting game to keep your guests entertained. All you have to do is blindfold your guests and have them taste sample foods like pickles, jams, peanut butter, coffee powder, chocolate syrup and so on. Thereafter, they have to guess those food items and the one who gets the most answers right wins the game."
Box Search,,2024,Analog,,,,Sassafras Patterdale,American Kennel Club,"A scent-based game where dogs search through multiple empty boxes to locate hidden treats. The dog is first separated, then allowed to explore and use their nose to detect which boxes contain food. After the search is complete, the dog is lured out of the area to signify the end of the game and reinforce positive engagement.","Localizing, Detecting, Rewarding, Luring, Navigating",Dog handler,FALSE,1,1,1,1,treat,,Low,Needs to be food safe for a dog and edible.,Fully Flexible,Could include different treats.,,,,,,"Animal game, Educational game",,https://www.akc.org/expert-advice/training/indoor-scent-games-for-dogs/,Dog,,,,,,,BoxSearch_2024,
Bugging Out,,2022,Analog,,,,Food Fight,,"""Bugging Out"" is a food challenge for players wanting to challenge themselves by eating edible worms and crickets.","Eating, Experiencing, Punishing",Player,TRUE,2,,1,1,edible worms and crickets,,High,Challenge is specific to particular edible item.,Expandable Only,,10.95,USD,12+,,,"Commercially available, Edible game, Party game, Challenge",,https://blaircandy.com/food-fight-buggin-out-game.html,Human,,,,,,,BuggingOut_2022,
Cat roulette,,2013,Analog,,,,John Fanning,,"Players spin a roulette to receive a mystery scent associated with a whimsical cat character, such as Drunk Cat, Smelly Cat, Naughty-but-(mostly)-Natural Cat, Cats Rock, Gourmet Cat, or Not-Very-Smelly Cat. Players smell the assigned scent and try to guess which cat it represents. The actual source of the scent is never revealed, leaving it up to the players' imagination to interpret the aroma based on the character's name and personality. The scents are extracted from the artist's cat (pee, feceses, hair, etc.).","Labeling, Randomizing",None,,1,1,6,6,,"cat pee, cat feceses, cat hair",Medium,Cat-extracted scents,Fully Flexible,,,,,Ueda 2020,,Art,,All odors are labeled like a scratch-and-sniff,Human,,,,,,,,
"Choices, Choices, Choices (from Scents Sort Match-Up)",Scents Sort Match-Up,2008,Analog,,,,,Roylco,"Players smell multiple scents, then select the correct scent based on provided clues or descriptions.","Matching, Labeling",None,,1,,30,30,"apple, pear, peach, papaya, mango, rose, tulip, carnation, grass, banana, honey, kiwi, tea, licorice, cucumber, peppermint, nutmeg, spearmint, cinnamon, maple syrup, lemon, pineapple, orange, cantaloupe, grapefruit, raspberry, strawberry, blueberry, grape, watermelon",,None,,Fully Flexible,,,,3+ years,Roylco 2008,,"Commercially available, Educational game",,https://web.archive.org/web/20240222085146/https://roylco.com/shop/r62301-scents-sort-match-up-kit/,Human,,,,,,,ScentsSortsMatchUp_2008,https://roylco.com/wp-content/uploads/2017/05/62301-Scents-Sort-Match-Up-Kit-Guide-CA0501-156.pdf
Classical Olfactory Training,,2009,Analog,,,,"Thomas Hummel, Karo Rissom, Aantje Hähner, Mark Weidenbecher, Karl-Bernd Hüttenbrink",,"Participants engaged in a 12-week regimen of scent exposure using four odorants selected to represent four primary odor categories from Henning's ""odor prism"": flowery, resinous, fruity, and aromatic. Twice daily, participants sniffed each scent for around 10 seconds from labeled jars containing soaked cotton pads. To enhance focus and compliance, they kept weekly self-rated olfaction diaries (not analyzed) and received check-in phone calls every three weeks.","Detecting, Experiencing",None,,1,1,4,4,"phenyl ethyl alcohol (rose), eucalyptol (eucalyptus), citronellal (lemon), eugenol (clove)",,Low,"Scents were orginally chosen based on the olfactory prism and to be perceivable to anosmic people (e.g., stimulates trigeminal nerve).",Fully Flexible,,,,,,,"Research, Clinical game, Rehabilitation game",,https://sci-hub.se/10.1002/lary.20101,Human,,,,,,,N.A.,
Cocktail Maze,,2018,Digital,,,,"Shiori Itou, Masaaki Iseki, Shingo Kato, Takamichi Nakamoto",,"A virtual reality (VR) game where players navigate a maze to collect cocktail ingredients. Upon reaching the end (a virtual bar), players see an image of the cocktail created and simultaneously experience its scent.","Composing, Navigating, Collecting",None,,1,1,,,,"blueberry, orange",Medium,Scents are components of a cocktail.,Fully Flexible,,,,,Itou et al. 2018,,"Research, Experimental game, Digital game",,https://dl.acm.org/doi/10.1145/3180308.3180331,Human,,,,,,,CocktailMaze_2018,
Collect Me,,2007,Digital,,,,"Stephen Boyd Davis, Gordon Davies, Ruba Haddad, Mei-Kei Lai",,"Players travel along a virtual straight path, encountering emitted scents. For each scent encountered, players must correctly choose its matching icon from three options to proceed.","Identifying, Labeling",None,,1,1,3,3,"lavender, jasmine, citrus",,None,,Fully Flexible,,,,,Davis et al. 2007,,Research,,https://link.springer.com/content/pdf/10.1007/978-1-84628-664-3_3.pdf,Human,,,,,,,CollectMe_2007,
