,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18
Arousing,0.002306635399362527,-0.03347367696446725,0.03028183956861178,0.0021131068004073593,0.023379573675792277,0.01806539070972469,0.02686138758240216,-0.0024828904042214846,-0.05950441996807827,-0.006227578748371757,-0.06196910400759685,-0.011849672890876732,-0.08077768694300128,0.013804819912833624,-0.09107245312541974,-0.13753343015900618,-0.01814443276234713,0.040263987405934065
Bluffing,-0.0058399343815215,-0.012177685120398851,-0.012221603108987511,0.005315934372877921,0.02589446917045149,0.006308104223325672,0.006924549488741577,-0.0004241542193772572,0.005435603593281824,0.003457660417157768,-0.010079353493135296,-0.0032011613217262924,0.0358541649040956,0.10229567409581315,-0.02039626533348013,0.04172572276149311,0.010345550452501684,0.018909296206300944
Buffing,0.20210495984078208,-0.08357123292657566,0.5018075294309844,0.5941108565658947,-0.005404857594177869,-0.1734997070908861,-0.3231859253305166,-0.4132141357745974,-0.028726196396896123,-0.05828912981174542,-0.030621125516399655,-0.0299602131845862,0.10919265843393049,-0.017625680239067177,0.005133250204889559,0.04015866326798089,0.05400964128113339,-0.009337164153347559
Collecting,-0.024698535075648398,0.009291592576102852,0.015529788041645683,-0.01752611315924223,-0.0029425765238124514,-0.03973785604227368,0.023467354363840363,0.01837946022680783,-0.03641310515974559,0.055577237477355435,-0.09000700014010916,0.009535212514770552,0.012076778040456908,0.0171623104225135,0.12839948192916836,0.07514445610813575,0.056364505608457315,-0.003349432620838426
Composing,-0.039103308482904525,-0.020366324163409204,-0.05236959621038018,0.021006080205766085,0.03536345179578648,-0.04502006182192198,0.05398918263747202,0.04105250476512948,-0.07771007349593077,-0.08504611432239237,-0.11902085419650593,0.24457551707576491,-0.10040687754312998,-0.08159828836013382,0.21128833200646335,0.25265947771239683,0.7304148267359281,-0.30263583671724464
Damaging,0.4393439875428721,0.3173097679675835,-0.2684375155174342,-0.2941570830052801,0.24325856286998251,-0.2927350219443226,-0.08695893218640702,-0.3668010745001476,-0.011699074414588298,-0.06090525825228112,0.04970779318588948,-0.04065011604719477,0.12764180700803857,-0.12213474851639711,0.023128514949478613,0.2989530553565561,-0.21182191733960093,-0.13072503636312746
Depriving,0.0017926676709152784,-0.017106819743118788,-0.024508329877386895,-0.007908093487406863,-0.03029266395603488,0.000271553981930635,-0.00435766476802949,-0.006667543935809205,-0.011572551545143776,-0.015057114373569833,-0.027757043859784752,0.014207685197240626,-0.03924925444398159,-0.025203102333131333,-0.010474638165123978,-0.005648245121842041,-0.02449551114240779,0.00785514211616663
Detecting,-0.05633147165447382,-0.0485096818027457,0.25295548243722177,-0.2358207369622412,-0.012474645833222619,0.12024991856997277,-0.08954855199252486,-0.20544408837659167,0.4773418934001579,0.18772796186122145,0.5482206402471625,0.0985548958055408,-0.3999680196021928,0.0490037488114908,0.005384103970693244,0.2098015773220811,0.08356437965133501,0.06808773397188136
Discriminating,-0.09951344906382933,0.09070952708303381,-0.026445443097560657,0.005470224114035987,0.1106702380266011,0.1423088323001764,-0.01736825044661725,-0.12001175136641602,-0.02724122203099515,-0.20339440078798846,0.29461651083829693,0.7363689714613474,0.34511980941826503,-0.16712128286237982,-0.022015007635675325,-0.30595592789550924,-0.06813184627121534,0.008639305373704196
Eating,-0.05559813542101197,-0.33213420838883173,-0.18013118738087538,0.09840666068642603,0.6877865985066969,-0.17199059940531355,-0.1127467236793101,0.12496103081362128,-0.17006424321796082,0.12967372501577398,0.2934709049144009,-0.11357091072916357,0.09641008625550607,0.018879163691006087,0.0555924999699888,0.07281651047161479,0.15343732481680547,0.2405612978439731
Emanating,0.6440490246943873,0.3299492550444131,0.09983508801604915,-0.03143634414800851,0.014714711770853551,0.2452863953345831,0.0036620723492965905,0.25090545711096984,0.012600698027792165,0.13577021408728018,0.16629429917868718,-0.11695557463562159,0.10067816891713574,0.1187784525989914,-0.0030324325488194624,-0.28769669971605094,0.3441924525739159,0.06519230505251838
Enchanting,0.024637078643107064,-0.02872182087743576,0.09514526548073651,0.03974556572436557,0.02031317220665935,0.027307912055555075,-0.017626634782166774,-0.10562995004888863,0.013772530785909466,0.006873296151949401,-0.013834831962682282,-0.016224315698167117,-0.10388210560485356,0.005538999493342901,-0.12445376584491089,-0.08562253833760329,0.005681245102030064,-0.0842580374894184
Experiencing,-0.04203165621451069,-0.2801509773743975,-0.3578741662135921,-0.08530264844970634,-0.4562854175326385,0.2023887528493214,-0.3982701842527835,-0.19304215891354246,-0.19948479806278063,0.06965035625943193,0.2909639474289844,-0.26128109698541174,0.24072231636756666,-0.16829962093814277,0.01736550407458756,-0.03676143264182903,0.16310338404395988,-0.0071716991905473836
Identifying,-0.5200673128040003,0.644836987161231,0.11222951876107543,0.0022979239872440733,0.20600768085116702,0.12078762701152324,-0.3725670806878837,0.05321540103081562,-0.010797333268806483,0.010991228419665692,0.009067480589953604,-0.2519025577469135,0.08981667574803727,-0.04561228390174627,0.056482618948679564,-0.01818746105682323,0.08030017630696097,-0.0244181388986678
