Game Title,BoardGameGeek ID,RPGGameGeek ID,Year,Done,Relevant,Fragrance(s) Mentioned,Mechanics,Delicious Distraction,Evil Smells Bad,Good Smells Good,Humans Are Smelly,Pheromones,Signature Scent,Smells Sexy,Smelly Skunk,Sniff Sniff Nom,Stink Bomb,The Nose Knows,They Have the Scent!,Weaponized Stench,You Need a Breath Mint
Burgle Bros.,172081,,2015,TRUE,TRUE,donut,"Luring, Eating","Players can use the Donut item on a guard, temporarily distracting him and preventing him from moving during his next turn.",,,,,,,,,,,,,
Cardfight!! Vanguard,,,2011,TRUE,TRUE,Chemical Skunk (unpleasant),"Buffing, Emanating",,,,,,,,"Chemical Skunk (card) is a scientist who deliberately creates unpleasant odors through experimentation. Its concoctions serve various purposes, such as combating sleepiness and producing other chemical effects.",,,,,,
Changeling: The Lost,,3211,2007,TRUE,TRUE,food (good or bad depending on person),"Judging, Experiencing",,,"Characters who join the Knights of the Knowledge of the Tongue always carry the scent of food. The nature of this scent varies based on an observer's feelings toward the changeling: allies perceive delicious foods they enjoy, while enemies smell unpleasant foods, such as sprouts or raw meat.",,,,,,,,,,,
Chrononauts,815,,2000,TRUE,TRUE,German cake,"Luring, Eating","The German Cake artifact, a relic from the 1939 Berlin World's Fair, can be played during another player's turn to distract them. This interruption cancels whatever action they were about to take.",,,,,,,,,,,,,
Dungeons & Dragons,,,,TRUE,TRUE,"food, good-aligned metallic dragons (pleasant), evil-aligned chromatic dragons (unpleasant), brass dragons (sandy), bronze dragons (sea spray), copper dragons (stony), gold dragons (saffron and incense), silver dragons (fresh rain), black dragons (rot and stagnant water), blue dragons (sharp ozone and sand), green dragons (stinging chlorine), red dragons (sulfur and pumice), white dragons (crisp and chemical), skunk spray, magic potions, stinking cloud, arcane pollen, Troglodytes, Ghasts","Luring, Eating, Signaling, Experiencing, Reflexing, Identifying, Localizing, Masking","Many monsters can be distracted by food, with older bestiaries noting that creatures like trolls, which possess both a ravenous appetite and limited intelligence, have a 50% chance of abandoning a chase if an easier meal is available. The Illusory Feast spell conjures the appearance of a target’s favorite food, causing non-combatants to drop what they’re doing to indulge and distracting those already engaged in battle. In the Tyranny of Dragons module, players can use slabs of meat to divert ambush drakes in the Cult of the Dragon's camp, with a nearby butchery providing a convenient source of bait.",,,,,"Dragons are often distinguished by their unique scents, with good-aligned metallic dragons carrying pleasant aromas and evil-aligned chromatic dragons exuding harsher, more unpleasant odors. Brass dragons have a sandy scent, bronze dragons smell of sea spray, copper dragons carry a stony aroma, gold dragons are fragrant with saffron and incense, and silver dragons have the fresh scent of rain. In contrast, black dragons reek of rot and stagnant water, blue dragons carry the sharp scent of ozone and sand, green dragons emit a stinging chlorine-like odor, red dragons smell of sulfur and pumice, and white dragons have a crisp, faintly chemical scent.",,"The Inventor Kobold has an action called Skunk in a Cage, in which it releases a live skunk onto the battlefield. The skunk then randomly sprays a nearby creature, and if the target fails its saving throw, the overwhelming stench renders it too repulsed to act temporarily.","In the Fifth Edition, identifying an unknown magic potion has been simplified: any character can determine its effects by tasting a small sample, bypassing the need for spells or elaborate rituals.","The Stinking Cloud spell fills an area with a noxious, choking fog that incapacitates creatures inside, leaving them helpless with nausea. Affected targets remain nauseated for as long as they remain in the cloud and for up to five minutes after exiting.","Many creatures possess an exceptional sense of smell, represented either by bonuses to Perception checks for scent-based detection or the Scent special ability, which allows them to detect hidden creatures and track by smell. Dragons have extraordinary olfactory senses, with one in the Forgotten Realms supplement Cult of the Dragon claiming it can smell human fear. Grimlocks, who are blind and dwell in dark caves, rely on their heightened senses of smell and hearing to hunt. Gnomes, though not as keen as creatures with the Scent ability, have a more refined sense of smell than other Player's Handbook races, which allows gnome alchemists to track chemical reactions by odor. Kobolds have exploited this trait by creating the Gnome Blight spell, which conjures a cloud of arcane pollen that is particularly debilitating to creatures with sensitive noses. ","Many animals and certain monstrous humanoids possess the Scent ability, which grants them a +4 bonus to tracking checks if they can pick up a trail. Tracking is based on the creature’s Survival skill, and since most creatures with Scent have high Survival scores, they excel at following targets by smell. Avoiding detection by scent is difficult, with crossing a body of water being one of the few reliable ways to break a trail.","The Stinking Cloud spell conjures a foul-smelling fog that nauseates creatures who fail their saving throws. Various creatures also possess natural odor-based attacks, such as Troglodytes, which emit a nauseating stench that affects nearby enemies, though the exact mechanics vary between editions. Similarly, Ghasts, a more powerful form of ghouls, exude a rotting stench that sickens any living beings that come too close.",
Eclipse Phase,,2677,2009,TRUE,TRUE,pheromones,"Enchanting, Emanating, Buffing, Localizing, Signaling, Detecting",,,,,"The Enhanced Pheromones biomod grants the user a bonus to social interactions with scent-sensitive creatures. Various drugs also manipulate pheromones for different effects: Alpha heightens threat pheromones, making the user more intimidating and aggressive; BringIt redirects hostility, causing others to focus their aggression on the user; and Hither enhances attraction pheromones, making the user appear more desirable.",,,,,,"Enhanced Smell is one of the five Enhanced Senses modifications, granting the user a sense of smell comparable to a bloodhound. This allows them to identify chemicals and individuals by scent, track people and chemically reactive objects within several hours of leaving a trail, and detect emotions and health status of those within five meters.",,,
Forgotten Realms (D&D),,,1987,TRUE,TRUE,fear,"Detecting, Signaling",,,,,,,,,,,"Dragons possess an exceptionally keen sense of smell. In the supplement Cult of the Dragon, a dragon explicitly states that it can detect the scent of human fear.",,,
GURPS,,333,1985,TRUE,TRUE,,"Detecting, Discriminating, Localizing, Identifying",,,,,,,,,,,"The Discriminatory Smell advantage grants an enhanced sense of smell capable of distinguishing subtle odors, even those masked by stronger scents. This ability is particularly useful for tracking, allowing the character to locate targets who have gone into hiding, blended into a crowd, or quickly changed disguises.",,,
GURPS Bio-Tech,,45479,1997,TRUE,TRUE,pheromones,"Enchanting, Buffing",,,,,"Guardian parahumans are engineered with a combination of sex pheromones and dominance pheromones, enhancing their ability to influence and control normal humans. These biochemical modifications make them naturally charismatic and authoritative.",,,,,,,,,
Hc Svnt Dracones,,26512,2019,TRUE,TRUE,,"Identifying, Localizing, Signaling, Detecting",,,,,,,,,,,"Scent is a trainable proficiency, but its effectiveness is restricted without the Reclaimed Olfactory surgery, which is only available to Canidae. This enhancement allows a character to identify individuals by scent and detect deception.",,,
