Game Title,Designer(s),Moby ID,IGDB ID,Year,PEGI Rating,ESRB Rating,Age Rating,Done,Relevant,Fragrance(s) Mentioned,Mechanics,Notes,Anticipatory Breath Spray,Clothespin Nose Plug,Delicious Distraction,Evil Smells Bad,Fartillery,Follow Your Nose,Good Smells Good,Humans Are Smelly,I Love the Smell of X in the Morning,Pepper Sneeze,Perfumigation,Perverted Sniffing,Pheromones,Signature Scent,Smells Sexy,Smells of Death,Smelly Feet Gag,Smelly Skunk,Sneeze of Doom,Sniff Sniff Nom,Stink Bomb,Stink Snub,Stinky Flower,The Nose Knows,They Have the Scent!,Visible Odor,Weaponized Stench,You Need a Breath Mint,Other (added by Jas)
Alice: Madness Returns,,51996,1040,2011,18,Mature,,TRUE,TRUE,pepper,"Revealing, Emanating, Reflexing",,,,,,,,,,,"The duchess’s pepper grinder transforms into a ranged weapon for Alice, capable of shooting pepper. Alice uses it to target giant Pig Snouts scattered throughout the levels, causing them to sneeze and unlock secret paths or reveal hidden collectibles.",,,,,,,,,In American McGee's Alice the Duchess sneezes until her head explodes.,,,,,,,,,,
American McGee's Alice,,2703,337,2000,,Mature,,TRUE,TRUE,pepper,"Emanating, Reflexing, Punishing",,,,,,,,,,,"A cannibalistic duchess wields a pepper grinder as her weapon. Upon defeat, she accidentally inhales pepper, causing her to sneeze so violently that her head explodes.",,,,,,,,,In American McGee's Alice the Duchess sneezes until her head explodes.,,,,,,,,,,
Amnesia: The Dark Descent,,48288,111,2010,,Mature,,TRUE,TRUE,body parts,Luring,,,,"Players can distract the invisible water monster by tossing body parts into the water. The monster is lured to devour the body parts, buying the player time to safely move away or reach their destination. Throwing the body parts as far as possible from critical paths increases the chance of evading the monster.",,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Crossing (series),,7256,2655,2002,3,Everyone,,TRUE,TRUE,rafflesia (foul),"Emanating, Punishing, Judging, Signaling",,,,,,,,,,,,,,,,,,,,,,,,"If players neglect to manage a weed infestation in the village, a rafflesia flower may grow. This flower emits a foul odor, attracting flies and triggering comments from villagers about its unpleasant smell.",,,,,,
Animal Restaurant,,,133792,2019,,,12+,TRUE,TRUE,skunk (unpleasant),"Emanating, Repelling",,,,,,,,,,,,,,,,,,,"The skunk emits greenish gas clouds, creating an unpleasant smell that drives away customers from the establishment.",,,,,,,,,,,
Assassin's Creed: Valhalla,,153392,133004,2020,18,Mature,,TRUE,TRUE,pie,"Navigating, Localizing",,,,,,,,,,,,,,,,,,,,,,,,,"During the world event ""Silver Wind Elder"" in Jorvik, a baker uses his sense of smell to track the scent of his stolen pie. The scent leads him to a child who took it, unraveling the event's story.",,,,,
Asura's Wrath,,56084,5495,2012,,Teen,,TRUE,TRUE,Olga's scent,"Emanating, Signaling, Arousing, Misdirecting",,,,,,,,"Olga, one of the Eight Guardian Generals turned Seven Deities, embodies the Deity of Lust. She wields her allure as a tool of influence, symbolized by a bewitching scent that trails behind her and captivates her minions. However, this is a strong inversion of her title; beneath her seductive and protective facade, she is a General Ripper.",,,,,,,,,,,,,,,,,,,,,,
Backyard Sports: Rookie Rush,,216066,6908,2010,,Everyone,,TRUE,TRUE,fart,Buffing,,,,,,A unique power-up involves gas emanating from a character's pants.,,,,,,,,,,,,,,,,,,,,,,,,
Batman: Arkham (series),,42258,500,2009,16,Teen,,TRUE,TRUE,"tobacco, alcohol","Localizing, Capturing",,,,,,,,,,,,,,,,,,,,,,,,,,"Batman utilizes his advanced detective scanner to isolate and identify specific scents, such as tobacco stains or alcohol vapors, allowing him to track individuals by following scent trails. For example, in Arkham Asylum, Batman tracks a character by following traces of alcohol vapor detected by his scanner.",,,,
Batman: Arkham City,,55403,501,2011,16,Teen,,TRUE,TRUE,TITAN-infected blood (death),"Signaling, Detecting",,,,,,,,,,,,,,,,,"Killer Croc chooses not to attack Batman, stating he can ""smell death"" on him, referencing Batman's deteriorating health due to Joker's poisoned blood.",,,,,,,,,,,,,
Battle Arena Toshinden,,6238,1413,1995,,Teen,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,"Fo has two special fart-based attacks: a small fart that's accompanied by a quiet ""fo"" sound effect, and a more powerful version unlocked after defeating Gaia, featuring an explosive noise and a stream of fiery gas.",,,,,,,,,,,,,,,,,,,,,,,,
Battle Chess II: Chinese Chess,,1301,11098,1990,,Everyone,,TRUE,TRUE,fart,"Repelling, Emanating, Damaging",,,,,,"One of the pieces, likely the Minister, attacks by humorously turning around, bending over, and emitting a gas blast that blows their opponent away.",,,,,,,,,,,,,,,,,,,,,,,,
Bayonetta (series),,43659,279337,2009,18,Mature,,TRUE,TRUE,Bayonetta's perfume (rosemary note),"Localizing, Signaling, Discriminating, Identifying",,,,,,,,,,,,,,,,,,,,,,,,,"Intrepid Reporter Luka tracks the titular witch across Purgatorio—a parallel realm where she is invisible to humans—by following the lingering trail of her distinctive perfume. The scent becomes a key narrative element, as Luka also notices a subtle hint of rosemary in the fragrance. This detail foreshadows that the rosemary smell isn't from Bayonetta but rather from the evil angels pursuing her, as rosemary is a natural demon repellent.",,,,,
Beavis and Butt-Head,,74939,307114,1996,,Everyone,,TRUE,TRUE,"burp, fart","Repelling, Emanating, Damaging",,,,,,The titular duo uses burps and farts as non-lethal weapons to interact with the environment and affect their enemies.,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Good & Evil,,11290,1341,2003,7,Teen,,TRUE,TRUE,fart,Buffing,,,,,,Pey'j uses a pair of Jet-Boots powered by homemade bio-fuel—specifically pressurized methane (farts).,,,,,,,,,,,,,,,,,,,,,,,,
Black Rose,,201899,33253,2016,,,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,"Players can unlock a secret joke ending by discovering a vial of purple fluid in a previously locked room during the final chase sequence. Drinking it triggers the sound of an unnaturally long fart, followed by the ghost coughing and collapsing.",,,,,,,,,,,,,,,,,,,,,,,,
BlazBlue: Calamity Trigger,,51890,6441,2008,12,Teen,,TRUE,TRUE,catnip-like shampoo,"Luring, Emanating, Punishing",,,,,,,,,,,,"Hazama's gag ending reveals that his shampoo is catnip-like in nature. This unusual trait attracts every cat in Kagutsuchi, leading to him being swarmed and attacked by a feline crowd.",,,,,,,,,,,,,,,,,,
BlazBlue: Central Fiction,,83589,11613,2015,12,Teen,,TRUE,TRUE,"Ragna's scent, Hibiki's scent","Localizing, Identifying",,,,,,,,,,,,,,,,,,,,,,,,,"Taokaka's exceptional sense of smell makes her a highly effective bounty hunter. In Act I, she demonstrates her ability to track Ragna's scent across an entire city, outpacing Carl Clover in the process. In Arcade Mode, the chase leads to Area 28, beneath a sewer treatment facility. Hibiki, a skilled assassin who can teleport, even acknowledges Taokaka's impressive ability to locate him purely by scent in his win quote.",,,,,
Bounty of One,,189808,199716,2022,,,,TRUE,TRUE,onion,"Emanating, Buffing, Damaging",,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Onion item grants your character a ""stink radius"" that deals damage to all enemies within its range. The damage starts at 1/4 of the player's normal damage and triggers every 0.5 seconds. With specific upgrades, this stink radius can become significantly more powerful, potentially evolving into an ""Instant Death"" radius that eliminates enemies instantly.",,
